3s2.3p6                | 1S        |   0 |        0.0000       0.0000
3s2.3p5.(2P*<3/2>).4s  | 2[3/2]*   |   2 |    93143.7600   93143.7600
3s2.3p5.(2P*<3/2>).4s  | 2[3/2]*   |   1 |    93750.5978   93750.5978
3s2.3p5.(2P*<1/2>).4s  | 2[1/2]*   |   0 |    94553.6652   94553.6652
3s2.3p5.(2P*<1/2>).4s  | 2[1/2]*   |   1 |    95399.8276   95399.8276
3s2.3p5.(2P*<3/2>).4p  | 2[1/2]    |   1 |   104102.0990  104102.0990
3s2.3p5.(2P*<3/2>).4p  | 2[5/2]    |   3 |   105462.7596  105462.7596
3s2.3p5.(2P*<3/2>).4p  | 2[5/2]    |   2 |   105617.2700  105617.2700
3s2.3p5.(2P*<3/2>).4p  | 2[3/2]    |   1 |   106087.2598  106087.2598
3s2.3p5.(2P*<3/2>).4p  | 2[3/2]    |   2 |   106237.5518  106237.5518
3s2.3p5.(2P*<3/2>).4p  | 2[1/2]    |   0 |   107054.2720  107054.2720
3s2.3p5.(2P*<1/2>).4p  | 2[3/2]    |   1 |   107131.7086  107131.7086
3s2.3p5.(2P*<1/2>).4p  | 2[3/2]    |   2 |   107289.7001  107289.7001
3s2.3p5.(2P*<1/2>).4p  | 2[1/2]    |   1 |   107496.4166  107496.4166
3s2.3p5.(2P*<1/2>).4p  | 2[1/2]    |   0 |   108722.6194  108722.6195
3s2.3p5.(2P*<3/2>).3d  | 2[1/2]*   |   0 |   111667.7660  111667.7760
3s2.3p5.(2P*<3/2>).3d  | 2[1/2]*   |   1 |   111818.0280  111818.0280
3s2.3p5.(2P*<3/2>).3d  | 2[3/2]*   |   2 |   112138.9240  112138.9240
3s2.3p5.(2P*<3/2>).3d  | 2[7/2]*   |   4 |   112750.1530  112750.1530
3s2.3p5.(2P*<3/2>).3d  | 2[7/2]*   |   3 |   113020.3550  113020.3550
3s2.3p5.(2P*<3/2>).3d  | 2[5/2]*   |   2 |   113425.9640  113425.9640
3s2.3p5.(2P*<3/2>).5s  | 2[3/2]*   |   2 |   113468.4730  113468.4730
3s2.3p5.(2P*<3/2>).3d  | 2[5/2]*   |   3 |   113716.5550  113643.2600
3s2.3p5.(2P*<3/2>).5s  | 2[3/2]*   |   1 |   113643.2600  113716.5550
3s2.3p5.(2P*<3/2>).3d  | 2[3/2]*   |   1 |   114147.7320  114147.7320
3s2.3p5.(2P*<1/2>).3d  | 2[5/2]*   |   2 |   114640.9920  114640.9920
3s2.3p5.(2P*<1/2>).3d  | 2[5/2]*   |   3 |   114821.9390  114805.1350
3s2.3p5.(2P*<1/2>).3d  | 2[3/2]*   |   2 |   114805.1350  114821.9390
3s2.3p5.(2P*<1/2>).5s  | 2[1/2]*   |   0 |   114861.6350  114861.6350
3s2.3p5.(2P*<1/2>).5s  | 2[1/2]*   |   1 |   114975.0190  114975.0190
3s2.3p5.(2P*<1/2>).3d  | 2[3/2]*   |   1 |   115366.8660  115366.8660
3s2.3p5.(2P*<3/2>).5p  | 2[1/2]    |   1 |   116659.9934  116659.9934
3s2.3p5.(2P*<3/2>).5p  | 2[5/2]    |   3 |   116942.7542  116942.7542
3s2.3p5.(2P*<3/2>).5p  | 2[5/2]    |   2 |   116999.3259  116999.3259
3s2.3p5.(2P*<3/2>).5p  | 2[3/2]    |   1 |   117151.3264  117151.3264
3s2.3p5.(2P*<3/2>).5p  | 2[3/2]    |   2 |   117183.5901  117183.5901
3s2.3p5.(2P*<1/2>).5p  | 2[1/2]    |   0 |   117562.9553  117562.9553
3s2.3p5.(2P*<3/2>).4d  | 2[1/2]*   |   0 |   118512.1970  118407.4303
3s2.3p5.(2P*<3/2>).4d  | 2[1/2]*   |   1 |   118651.3950  118459.5975                    |           |     |              
3s2.3p5.(2P*<3/2>).4d  | 2[7/2]*   |   4 |   119023.6480  118469.0508
3s2.3p5.(2P*<3/2>).4d  | 2[3/2]*   |   2 |   118906.6110  118512.1970
3s2.3p5.(2P*<3/2>).4d  | 2[7/2]*   |   3 |   119212.8700  118651.3950
3s2.3p5.(2P*<1/2>).5p  | 2[3/2]    |   1 |   118407.4303  118870.9170
3s2.3p5.(2P*<1/2>).5p  | 2[3/2]    |   2 |   118469.0508  118906.6110
3s2.3p5.(2P*<1/2>).5p  | 2[1/2]    |   1 |   118459.5975  119023.6480
3s2.3p5.(2P*<3/2>).4d  | 2[5/2]*   |   2 |   119444.8300  119212.8700
3s2.3p5.(2P*<3/2>).5p  | 2[1/2]    |   0 |   118870.9170  119444.8300
3s2.3p5.(2P*<3/2>).4d  | 2[5/2]*   |   3 |   119566.0300  119566.0300
3s2.3p5.(2P*<3/2>).4d  | 2[3/2]*   |   1 |   119847.7700  119847.7700
3s2.3p5.(2P*<3/2>).4f  | 2[3/2]    |   1 |   120188.2320  120188.2320
3s2.3p5.(2P*<3/2>).4f  | 2[3/2]    |   2 |   120188.6310  120188.6310
3s2.3p5.(2P*<3/2>).4f  | 2[9/2]    |   5 |   120207.1340  120207.1340
3s2.3p5.(2P*<3/2>).4f  | 2[9/2]    |   4 |   120207.1750  120207.1750
3s2.3p5.(2P*<3/2>).4f  | 2[5/2]    |   3 |   120229.7500  120229.7500
3s2.3p5.(2P*<3/2>).4f  | 2[5/2]    |   2 |   120230.0630  120230.0630
3s2.3p5.(2P*<3/2>).4f  | 2[7/2]    |   3 |   120249.8760  120249.8760
3s2.3p5.(2P*<3/2>).4f  | 2[7/2]    |   4 |   120249.9140  120249.9140

