## NTRMN  = 2
## NTRANS = 56
1.142887115478515625e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.144927978515625000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.146968936920166016e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.149009799957275391e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.151050662994384766e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.153091526031494141e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.157173252105712891e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.159214115142822266e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.161254978179931641e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.165336799621582031e+01 2.166224956512451172e+00 2.166224956512451172e+00 0.000000000000000000e+00
1.167377567291259766e+01 2.162437915802001953e+00 2.162437915802001953e+00 0.000000000000000000e+00
1.169418430328369141e+01 2.158663988113403320e+00 2.158663988113403320e+00 0.000000000000000000e+00
1.171459388732910156e+01 1.650151014328002930e+00 1.650151014328002930e+00 0.000000000000000000e+00
1.175541114807128906e+01 2.775043249130249023e+00 1.949886560440063477e+00 8.251566886901855469e-01
1.177581882476806641e+01 3.318203687667846680e+00 2.494375467300415039e+00 8.238282203674316406e-01
1.179622840881347656e+01 3.427225828170776367e+00 2.709233999252319336e+00 7.179917693138122559e-01
1.181663703918457031e+01 3.422218322753906250e+00 2.705567836761474609e+00 7.166504263877868652e-01
1.183704566955566406e+01 3.329962253570556641e+00 2.710003614425659180e+00 6.199587583541870117e-01
1.185745429992675781e+01 3.358451843261718750e+00 2.800227880477905273e+00 5.582239627838134766e-01
1.187786388397216797e+01 1.668176174163818359e+00 1.148801326751708984e+00 5.193748474121093750e-01
1.193908882141113281e+01 1.433347225189208984e+00 1.142910122871398926e+00 2.904371023178100586e-01
1.195949840545654297e+01 1.415788769721984863e+00 1.152969837188720703e+00 2.628189027309417725e-01
1.197990703582763672e+01 1.448646306991577148e+00 1.189971923828125000e+00 2.586743831634521484e-01
1.200031566619873047e+01 1.517299890518188477e+00 1.248791933059692383e+00 2.685079574584960938e-01
1.202072334289550781e+01 1.605137348175048828e+00 1.320356845855712891e+00 2.847804725170135498e-01
1.204113292694091797e+01 1.700331091880798340e+00 1.397643446922302246e+00 3.026876747608184814e-01
1.206154155731201172e+01 1.798279166221618652e+00 1.477645635604858398e+00 3.206335306167602539e-01
1.208195018768310547e+01 1.899661064147949219e+00 1.560349702835083008e+00 3.393113315105438232e-01
1.210235881805419922e+01 2.008415222167968750e+00 1.648708820343017578e+00 3.597063124179840088e-01
1.212276744842529297e+01 2.123418569564819336e+00 1.740720033645629883e+00 3.826985359191894531e-01
1.214317607879638672e+01 2.246512651443481445e+00 1.838336348533630371e+00 4.081762433052062988e-01
1.216358470916748047e+01 2.374113559722900391e+00 1.938576936721801758e+00 4.355365633964538574e-01
1.218399333953857422e+01 2.505511283874511719e+00 2.041429042816162109e+00 4.640823304653167725e-01
1.220440292358398438e+01 2.641079425811767578e+00 2.147860288619995117e+00 4.932191669940948486e-01
1.222481155395507812e+01 2.780502557754516602e+00 2.257852315902709961e+00 5.226503014564514160e-01
1.224521923065185547e+01 2.923664569854736328e+00 2.371387958526611328e+00 5.522766709327697754e-01
1.226562786102294922e+01 3.072693347930908203e+00 2.490401029586791992e+00 5.822923183441162109e-01
1.228603744506835938e+01 3.224928855895996094e+00 2.611941337585449219e+00 6.129876375198364258e-01
1.230644607543945312e+01 3.382300853729248047e+00 2.737941503524780273e+00 6.443592309951782227e-01
1.232685470581054688e+01 3.540025234222412109e+00 2.863524436950683594e+00 6.765008568763732910e-01
1.234726333618164062e+01 3.698004007339477539e+00 2.988692283630371094e+00 7.093117237091064453e-01
1.236767196655273438e+01 3.852267742156982422e+00 3.109575986862182617e+00 7.426918745040893555e-01
1.238808059692382812e+01 4.003704071044921875e+00 3.227162599563598633e+00 7.765417098999023438e-01
1.240848922729492188e+01 4.149336814880371094e+00 3.338574647903442383e+00 8.107624053955078125e-01
1.242889785766601562e+01 4.289868831634521484e+00 3.444805383682250977e+00 8.450635075569152832e-01
1.244930744171142578e+01 4.423979282379150391e+00 3.544919490814208984e+00 8.790596127510070801e-01
1.246971511840820312e+01 4.552274703979492188e+00 3.639906167984008789e+00 9.123686552047729492e-01
1.249012374877929688e+01 4.672484874725341797e+00 3.727874279022216797e+00 9.446105957031250000e-01
1.251053237915039062e+01 4.782830715179443359e+00 3.807901144027709961e+00 9.749294519424438477e-01
1.253094196319580078e+01 4.883934020996093750e+00 3.880981206893920898e+00 1.002952575683593750e+00
1.255135059356689453e+01 4.972310543060302734e+00 3.943333148956298828e+00 1.028977274894714355e+00
1.257175922393798828e+01 5.045166492462158203e+00 3.994057416915893555e+00 1.051109194755554199e+00
1.259216690063476562e+01 5.101627826690673828e+00 4.032260417938232422e+00 1.069367289543151855e+00
1.261257648468017578e+01 5.139874458312988281e+00 4.057053565979003906e+00 1.082820892333984375e+00
1.263298511505126953e+01 5.157152652740478516e+00 4.064711570739746094e+00 1.092441201210021973e+00
1.265339374542236328e+01 5.150726318359375000e+00 4.055317401885986328e+00 1.095409035682678223e+00
1.267380237579345703e+01 5.115987777709960938e+00 4.023287296295166016e+00 1.092700719833374023e+00
1.269421100616455078e+01 5.042702198028564453e+00 3.963073015213012695e+00 1.079629063606262207e+00
1.271461963653564453e+01 4.883042812347412109e+00 3.840919494628906250e+00 1.042123198509216309e+00
1.273502826690673828e+01 3.984012365341186523e+00 3.189057350158691406e+00 7.949550747871398926e-01
1.275543689727783203e+01 3.514730930328369141e+00 2.742912054061889648e+00 7.718188762664794922e-01
1.277584648132324219e+01 3.509209871292114258e+00 2.738530397415161133e+00 7.706795334815979004e-01
1.279625511169433594e+01 3.503706455230712891e+00 2.734162569046020508e+00 7.695440053939819336e-01
1.281666278839111328e+01 3.674729347229003906e+00 2.906317234039306641e+00 7.684120535850524902e-01
1.283707141876220703e+01 3.492566108703613281e+00 2.725469112396240234e+00 7.670971155166625977e-01
1.285748100280761719e+01 3.003026962280273438e+00 2.398106098175048828e+00 6.049209833145141602e-01
1.287788963317871094e+01 2.998360872268676758e+00 2.394305706024169922e+00 6.040551662445068359e-01
1.289829826354980469e+01 3.224779129028320312e+00 2.452692985534667969e+00 7.720860242843627930e-01
1.295952415466308594e+01 3.862016677856445312e+00 2.441105365753173828e+00 1.420911312103271484e+00
1.297993278503417969e+01 5.408675670623779297e+00 3.954219102859497070e+00 1.454456567764282227e+00
1.300034141540527344e+01 6.168328285217285156e+00 3.948011636734008789e+00 2.220316410064697266e+00
1.302075004577636719e+01 6.440741062164306641e+00 4.566006660461425781e+00 1.874734282493591309e+00
1.304115962982177734e+01 5.758899688720703125e+00 3.935654640197753906e+00 1.823245286941528320e+00
1.312279415130615234e+01 4.961934089660644531e+00 3.096648454666137695e+00 1.865285396575927734e+00
1.314320278167724609e+01 4.841337203979492188e+00 3.029911994934082031e+00 1.811425209045410156e+00
1.320442867279052734e+01 5.369736194610595703e+00 3.015863180160522461e+00 2.353873014450073242e+00
1.322483730316162109e+01 5.161140441894531250e+00 2.996727466583251953e+00 2.164412975311279297e+00
1.324524593353271484e+01 5.439147472381591797e+00 2.992110013961791992e+00 2.447037696838378906e+00
1.326565456390380859e+01 4.896771907806396484e+00 2.675312042236328125e+00 2.221459627151489258e+00
1.336769866943359375e+01 5.683812618255615234e+00 2.696078538894653320e+00 2.987734317779541016e+00
1.338810729980468750e+01 5.919817924499511719e+00 2.796571731567382812e+00 3.123245954513549805e+00
1.340851497650146484e+01 6.159315109252929688e+00 2.876227378845214844e+00 3.283087253570556641e+00
1.342892456054687500e+01 6.380118846893310547e+00 2.928010225296020508e+00 3.452109098434448242e+00
1.344933319091796875e+01 6.589943408966064453e+00 2.940476179122924805e+00 3.649466991424560547e+00
1.346974182128906250e+01 6.509091377258300781e+00 3.000002145767211914e+00 3.509088993072509766e+00
1.349015045166015625e+01 6.767225265502929688e+00 3.265197277069091797e+00 3.502027511596679688e+00
1.351055908203125000e+01 6.614264488220214844e+00 3.173442840576171875e+00 3.440821647644042969e+00
1.353096771240234375e+01 6.637049198150634766e+00 3.056311368942260742e+00 3.580736875534057617e+00
1.355137634277343750e+01 6.922484397888183594e+00 3.354671239852905273e+00 3.567812919616699219e+00
1.361260223388671875e+01 7.111220359802246094e+00 3.284186840057373047e+00 3.827033042907714844e+00
1.363301086425781250e+01 7.254106998443603516e+00 3.324047327041625977e+00 3.930059671401977539e+00
1.365341949462890625e+01 7.414453506469726562e+00 3.354145765304565430e+00 4.060307502746582031e+00
1.367382907867431641e+01 7.517718315124511719e+00 3.367522239685058594e+00 4.150195598602294922e+00
1.369423770904541016e+01 7.604764938354492188e+00 3.372118234634399414e+00 4.232645988464355469e+00
1.371464633941650391e+01 7.673945426940917969e+00 3.372336626052856445e+00 4.301608562469482422e+00
1.373505496978759766e+01 7.734026908874511719e+00 3.372554302215576172e+00 4.361472606658935547e+00
1.375546360015869141e+01 7.794331073760986328e+00 3.374511718750000000e+00 4.419818878173828125e+00
1.377587318420410156e+01 7.847416877746582031e+00 3.359086036682128906e+00 4.488330841064453125e+00
1.383709812164306641e+01 7.683898448944091797e+00 3.090768098831176758e+00 4.593130588531494141e+00
1.387791538238525391e+01 7.701955795288085938e+00 3.097202301025390625e+00 4.604753494262695312e+00
1.397995948791503906e+01 7.352097988128662109e+00 3.010380268096923828e+00 4.341717720031738281e+00
1.402077770233154297e+01 8.110592842102050781e+00 3.001616477966308594e+00 5.108975887298583984e+00
1.404118442535400391e+01 8.548954010009765625e+00 3.482304334640502930e+00 5.066649436950683594e+00
1.410241127014160156e+01 9.116964340209960938e+00 3.382309436798095703e+00 5.734653949737548828e+00
1.414322853088378906e+01 9.254766464233398438e+00 3.295533895492553711e+00 5.959231853485107422e+00
1.416363716125488281e+01 9.113373756408691406e+00 3.169092178344726562e+00 5.944281578063964844e+00
1.426568031311035156e+01 9.855504989624023438e+00 3.305003643035888672e+00 6.550500392913818359e+00
1.430649757385253906e+01 1.007428169250488281e+01 3.308123826980590820e+00 6.766155719757080078e+00
1.432690715789794922e+01 1.023413372039794922e+01 3.366070985794067383e+00 6.868062973022460938e+00
1.434731578826904297e+01 1.049929046630859375e+01 3.433029890060424805e+00 7.066260337829589844e+00
