## Cross-Section(Temperature (eV))    created by Plot Digitizer    2.6.8"
## Date: 6/20/16    11:52:03 PM"
## Temperature (eV)   Cross-Section
12.6333   1.25266
14.2347   3.25435
15.2893   6.17124
15.9618   11.0664
15.9491   17.0252
16.0454   21.4757
16.4304   26.1732
16.7944   29.9065
17.4231   32.7742
17.5028   36.4582
18.0400   41.6502
19.7879   43.8743
21.2016   43.7497
21.4448   41.8952
22.9681   40.2870
23.0738   38.6304
25.1466   36.2307
26.9178   32.9905
29.9505   29.1313
33.8260   24.9502
37.6005   22.6483
44.2165   20.7401
52.9720   19.5228
