## Cross-Section(Temperature (eV))    created by Plot Digitizer    2.6.8"
## Date: 6/18/16    8:36:34 AM"
## Temperature (eV)   Cross-Section
12.4287   1.28801
14.0201   5.34390
14.5220   7.49626
15.7782   12.9876
15.6461   20.7154
15.3477   24.8831
15.7515   28.5259
16.2134   36.4741
16.6914   45.6090
17.3681   51.9563
19.0654   55.1014
20.9246   52.7265
23.8353   49.4400
26.7576   47.0092
27.7852   44.3313
30.8145   41.0724
33.9732   38.6413
37.7255   36.4030
43.9786   35.5429
51.7688   34.7092
