#Cross-Section(Temperature(eV))    created by Plot Digitizer    2.6.8"
#Date: 6/18/16    8:44:48 AM"
## Temperature(eV)   Cross-Section
12.3465   2.46732
13.7421   12.8605
14.5164   19.9072
15.6750   30.1835
15.8274   46.2771
15.8886   52.7381
16.0009   64.6027
16.2868   82.3407
16.4226   96.6723
16.9938   107.185
17.4727   120.400
18.9623   128.267
21.1027   117.689
25.9615   82.8466
29.8712   59.8712
32.9361   47.2942
38.2437   34.9469
45.1182   26.1789
54.0263   20.4605
66.1250   15.4394
84.3701   11.9310
103.689   9.77108
