##      Ar+     0   18  1   127110
## Level #  Paschen  Valence + LSJ  cm-1        eV
      1     1p0      (1)0(0.0)      0.000       0.000
      2     1s5      4S1(3)1(2.0)   93143.760   11.548
      3     1s4      4S1(3)1(1.0)   93750.598   11.623
      4     1s3      4S1(3)1(0.0)   94553.665   11.723
      5     1s2      4S1(1)1(1.0)   95399.828   11.828
      6     2p10     4P1(3)0(1.0)   104102.099  12.907
      7     2p9      4P1(3)2(3.0)   105462.760  13.075
      8     2p8      4P1(3)2(2.0)   105617.270  13.095
      9     2p7      4P1(1)1(1.0)   106087.260  13.153
      10    2p6      4P1(3)1(2.0)   106237.552  13.171
      11    2p5      4P1(3)1(0.0)   107054.272  13.273
      12    2p4      4P1(3)2(1.0)   107131.709  13.282
      13    2p3      4P1(1)2(2.0)   107289.700  13.302
      14    2p2      4P1(3)1(1.0)   107496.417  13.328
      15    2p1      4P1(1)0(0.0)   108722.620  13.480
      16    3d6      3D1(3)1(0.0)   111667.776  13.845
      17    3d5      3D1(3)1(1.0)   111818.028  13.863
      18    3d3      3D1(3)1(2.0)   112138.924  13.903
      19    3d4'     3D1(3)3(4.0)   112750.153  13.979
      20    3d4      3D1(3)3(3.0)   113020.355  14.012
      21    3d1''    3D1(3)3(2.0)   113425.964  14.063
      22    2s5      5S1(3)1(2.0)   113468.473  14.068
      23    2s4      5S1(1)1(1.0)   113643.260  14.090
      24    3d1'     3D1(1)3(3.0)   113716.555  14.099
      25    3d2      3D1(1)1(1.0)   114147.732  14.152
      26    3s1'     3D1(1)2(2.0)   114640.992  14.213
      27    3s1''    3D1(3)2(2.0)   114805.135  14.234
      28    3s1'''   3D1(3)2(3.0)   114821.939  14.236
      29    2s3      5S1(3)1(0.0)   114861.635  14.241
      30    2s2      5S1(3)1(1.0)   114975.019  14.255
      31    3s1'     3D1(3)2(1.0)   115366.866  14.303
      32    3p10     5P1(3)0(1.0)   116659.993  14.464
      33    3p9      5P1(3)2(3.0)   116942.754  14.499
      34    3p8      5P1(1)2(2.0)   116999.326  14.506
      35    3p7      5P1(1)1(1.0)   117151.326  14.525
      36    3p6      5P1(3)1(2.0)   117183.590  14.529
      37    3p5      5P1(1)0(0.0)   117562.955  14.576
      38    3p4      5P1(3)2(1.0)   118407.430  14.680
      39    3p3      5P1(3)1(1.0)   118459.598  14.687
      40    3p2      5P1(3)2(2.0)   118469.051  14.688
      41    4d       4D1(3)1(0.0)   118512.197  14.693
      42    4d5      4D1(3)1(1.0)   118651.395  14.711
      43    3p1      5P1(3)1(0.0)   118870.917  14.738
      44    4d3      4D1(3)1(2.0)   118906.611  14.742
      45    4d4'     4D1(3)3(4.0)   119023.648  14.757
      46    4d4      4D1(3)3(3.0)   119212.870  14.780
      47    4d1''    4D1(1)2(2.0)   119444.830  14.809
      48    4d1'     4D1(3)2(3.0)   119566.030  14.824
      49    4d2      4D1(1)1(1.0)   119847.770  14.859
