##Temprature(eV)   Cross-Section
1.35898   0.0620161   
1.61921   0.0709236   
1.68651   0.262777   
1.77293   0.637731   
1.86884   1.16962   
1.95467   2.20717   
2.05936   3.70681   
2.16407   5.18902   
2.25922   6.57531   
2.38390   7.28159   
2.48009   7.49962   
2.55717   7.52583   
2.73053   7.67417   
2.93279   7.84869   
3.11587   7.90985   
3.25078   7.93610   
3.35678   7.97105   
3.48203   8.02345   
3.54945   8.08453   
3.70360   8.15439   
3.87700   8.25914   
3.97334   8.31152   
4.21423   8.39888   
4.40693   8.47748   
4.47433   8.55600   
4.57065   8.62581   
4.66709   8.57357   
5.17780   8.71344   
5.67892   8.81842   
6.18007   8.87110   
6.68128   8.87146   
7.17288   8.83695   
7.69324   8.96810   
8.66678   8.91650   
9.68851   8.87365   
10.6717   8.77846   
11.6743   8.54379   
