"Cross-Section(Temperature(eV)), created by Plot Digitizer, 2.6.8"
"Date: 6/21/16, 1:36:43 PM"


44
Temperature(eV),Cross-Section
1.20729,0.0765177,
1.54025,0.612622,
1.68578,1.80096,
1.81019,3.68971,
1.88475,6.52328,
1.99682,11.0505,
2.10161,15.5289,
2.18320,18.1019,
2.29930,18.6552,
2.40745,18.2964,
2.51572,18.1005,
2.60983,18.2630,
2.69713,18.9467,
2.81315,19.4023,
2.91465,19.7602,
3.00893,20.1507,
3.09588,20.3946,
3.21176,20.6710,
3.33480,20.8497,
3.49392,20.9630,
3.59521,21.0603,
3.72561,21.4181,
3.88489,21.7106,
4.01524,22.0032,
4.13109,22.2308,
4.26118,22.1977,
4.40597,22.4577,
4.53622,22.6200,
4.77476,22.6028,
4.91220,22.7162,
5.20857,22.6987,
5.36763,22.7306,
5.48316,22.5673,
5.64233,22.7295,
6.09772,22.6951,
6.61820,22.6930,
7.11672,22.3489,
7.65871,22.1187,
8.11415,22.1494,
8.62751,22.2776,
9.10420,21.7545,
9.60995,21.4104,
10.1155,20.8709,
11.0983,20.3783,
